name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Santa Barbara, CA",2022-05-02,64.5,48.7,57.2,64.5,48.7,57.2,50.7,79.5,0,0,0,rain,0,0,21.9,10.8,192.5,1013.5,30.5,8.1,198.8,17.3,8,10,2022-05-02T06:07:46,2022-05-02T19:44:18,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE234,CI107,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-05-03,66.7,52,59.1,66.7,52,59.1,50.5,74.3,0,0,0,rain,0,0,18.3,12.8,231.2,1012.8,29.5,8.2,234.9,20.6,9,10,2022-05-03T06:06:46,2022-05-03T19:45:05,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SE234,CI107,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110,KOXR"
"Santa Barbara, CA",2022-05-04,70.4,48.1,59.3,70.4,48.1,59.3,50.4,74.4,0,0,0,,0,0,11.4,13.6,243.8,1013.5,3,8.8,357.3,30.8,10,10,2022-05-04T06:05:48,2022-05-04T19:45:53,0.13,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-05,62.7,51.2,56.1,62.7,51.2,56.1,51.4,84.8,0,0,0,rain,0,0,19.7,12.7,175.9,1015.7,47.1,6.1,345,29.7,10,10,2022-05-05T06:04:50,2022-05-05T19:46:40,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-06,66.5,49.4,58.7,66.5,49.4,58.7,51.7,78.6,0,0,0,rain,0,0,21.9,12.8,149.6,1014.2,2.8,9.4,344.7,29.6,10,10,2022-05-06T06:03:54,2022-05-06T19:47:27,0.19,Clear,Clear conditions throughout the day.,clear-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-05-07,72.7,52.1,62,72.7,52.1,62,51.4,70.9,0,0,0,rain,0,0,26.4,11.1,180,1012,5.2,9,351.9,30.4,10,10,2022-05-07T06:02:58,2022-05-07T19:48:14,0.23,Clear,Clear conditions throughout the day.,clear-day,"SE234,SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-05-08,74.5,49.6,60,74.5,47.6,60,41,52.2,0,0,0,,0,0,35.5,24.8,281.3,1011.1,4.8,9.7,350.5,30.2,10,10,2022-05-08T06:02:05,2022-05-08T19:49:01,0.25,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110,KOXR"
"Santa Barbara, CA",2022-05-09,69.4,48.6,58.7,69.4,45.3,58.6,31.7,36.5,0,0,0,,0,0,35.8,24.5,298.1,1014,1,9.9,351.8,30.6,10,10,2022-05-09T06:01:12,2022-05-09T19:49:48,0.29,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,SE317,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-05-10,68.6,45.2,58.1,68.6,45.2,58.1,34.3,42.2,0,0,0,,0,0,33.9,23.8,264,1017.1,1.3,9.9,362,31.3,10,10,2022-05-10T06:00:20,2022-05-10T19:50:35,0.32,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,SE317,KIZA,72376293244,72392793110"
"Santa Barbara, CA",2022-05-11,70,50.9,59.8,70,50.9,59.8,34.9,40,0,0,0,,0,0,45,18.6,295.9,1019.8,0.7,9.9,368.9,31.9,10,10,2022-05-11T05:59:30,2022-05-11T19:51:22,0.36,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,72392793110,KOXR"
"Santa Barbara, CA",2022-05-12,73.4,49.1,63.4,73.4,46.4,63.3,39.8,43.1,0,0,0,rain,0,0,27.7,17.2,206.3,1020.2,2.5,9.7,365.9,31.7,10,10,2022-05-12T05:58:42,2022-05-12T19:52:08,0.39,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,KIZA,72376293244,SE317,72392793110"
"Santa Barbara, CA",2022-05-13,81.6,49.2,63.8,79.5,49.2,63.6,44.8,56.8,0,0,0,,0,0,39.6,11.6,146.2,1015.4,0.3,9.7,368.3,31.8,10,10,2022-05-13T05:57:54,2022-05-13T19:52:54,0.42,Clear,Clear conditions throughout the day.,clear-day,"SE244,72392523190,KSBA,SBVC1,SE317,KIZA,72376293244,72392793110,KOXR"
